Word	Count	Emotions
the	19238	
and	16367	
of	11815	
that	6888	
to	6454	
they	4491	
in	3695	
unto	3643	
i	3317	
he	3178	
it	3085	
their	2807	
nephi	2787	
them	2651	
for	2522	
be	2512	
shall	2489	
alma	2294	
his	2253	
which	2217	
not	2207	
a	2146	
were	2018	
ye	2012	
did	1990	
have	1788	
all	1784	
had	1767	
people	1761	
my	1701	
god	1681	anticipation, fear, joy, positive, trust
came	1644	
behold	1635	
was	1581	
lord	1575	disgust, negative, positive, trust
pass	1525	
with	1519	
this	1436	
is	1385	
land	1250	positive
yea	1248	
now	1231	
who	1206	
by	1198	
should	1179	
you	1179	
are	1172	
him	1163	
will	1118	
upon	1079	
as	1048	
also	1044	
we	1030	
from	1006	
but	991	
things	913	
mosiah	897	
me	871	
there	820	
our	803	
because	800	
come	785	
many	748	
these	742	
been	728	
lamanites	698	
up	694	
your	693	
even	689	
into	683	
great	682	
words	664	anger, negative
therefore	663	
said	650	
if	648	
do	633	
when	632	
would	612	
forth	610	
thou	599	
helaman	594	
out	590	
among	581	
father	557	trust
against	557	
brethren	548	
men	534	
according	525	
us	523	
hath	516	
may	515	
say	515	
after	507	
king	501	positive
know	480	
thus	478	
those	478	
again	478	
no	474	
ether	469	
man	469	
thy	469	
might	463	
one	452	
or	439	
before	436	
on	420	
wherefore	419	
began	418	
time	415	anticipation
power	412	
at	397	
earth	397	
down	394	
christ	390	
moroni	389	
away	380	
more	374	
an	373	
nephites	372	
go	367	
so	360	
day	360	
children	349	
concerning	348	
son	343	
can	324	
over	321	
word	315	positive, trust
city	312	
jacob	311	
name	305	
mormon	301	
has	298	
holy	297	positive
thee	290	
year	281	
could	281	
made	280	
hearts	280	
spirit	277	positive
exceedingly	267	
o	264	
faith	263	anticipation, joy, positive, trust
about	262	
saw	261	
being	261	
brought	257	
wilderness	254	anticipation, fear, sadness
spoken	253	
take	245	
must	244	
chapter	234	
saying	233	
much	232	
manner	232	
good	229	anticipation, joy, positive, surprise, trust
cast	228	
every	227	
church	227	anticipation, joy, positive, trust
having	226	
own	226	
then	224	
death	221	anger, anticipation, disgust, fear, negative, sadness, surprise
save	217	joy, positive, trust
themselves	215	
house	214	
cause	214	
israel	212	
days	212	
give	210	
commandments	209	
called	209	
done	206	
repent	205	fear, positive
believe	204	
until	201	
given	200	
went	199	
am	199	
hand	197	
hands	197	
together	197	
commanded	192	
jesus	188	
saith	187	
neither	185	
whom	183	
face	183	
law	183	trust
fathers	182	
speak	182	
insomuch	181	
written	180	
what	179	
nevertheless	178	
make	176	
seed	173	
ammon	173	
world	171	
spake	170	
bring	170	
destroy	167	
voice	166	
sons	166	
brother	166	positive, trust
jerusalem	164	
heart	162	
sins	162	
end	161	
remember	161	
soul	160	
wickedness	160	disgust, negative
fruit	159	
off	157	
other	157	
taken	156	
reign	156	
see	155	
destruction	154	anger, negative
keep	154	
caused	153	
himself	151	
slain	151	
armies	150	
kingdom	150	
thereof	149	
blood	149	
sent	149	
any	149	
zarahemla	148	
way	147	
mine	147	
how	147	
plates	146	
place	146	
become	145	
part	144	
first	143	
life	143	
thing	143	
nor	143	
heard	141	
gentiles	141	
judges	141	
hast	140	
like	140	
blessed	139	joy, positive
work	138	
joy	137	joy, positive
army	136	
iniquity	135	disgust, negative
record	134	
years	134	
battle	134	anger, negative
evil	133	anger, disgust, fear, negative, sadness
war	132	fear, negative
works	131	
than	131	
beheld	130	
took	130	
knowledge	128	positive
doth	128	
cometh	127	
except	125	
let	125	
destroyed	124	anger, fear, negative, sadness
prophets	123	
put	123	
another	122	
write	122	
strength	119	positive, trust
fire	118	fear
suffer	118	negative
deliver	118	
peace	118	anticipation, joy, positive, trust
heaven	116	
such	116	
both	116	
cry	116	negative, sadness
judge	116	
perish	115	fear, negative, sadness
sword	115	
last	115	
through	114	
seen	114	
same	114	
dead	114	
fear	113	anger, fear, negative
fall	112	negative, sadness
lehi	111	
righteous	111	positive
known	110	
stand	109	
slay	108	anger, negative
true	107	joy, positive, trust
led	107	
shalt	105	
lands	104	
receive	104	
righteousness	103	
wicked	103	fear, negative
hear	103	
two	103	
gathered	101	
towards	101	
vineyard	101	
forever	100	
covenant	100	positive, trust
devil	99	anger, anticipation, disgust, fear, negative, sadness
light	99	
repentance	99	
beloved	99	
ghost	98	fear
show	96	trust
tree	96	anger, anticipation, disgust, joy, positive, surprise, trust
became	96	
none	96	
chief	96	
sea	95	positive
yet	95	
knew	94	
received	94	positive
gave	92	
angel	91	anticipation, joy, positive, surprise, trust
art	91	anticipation, joy, positive, sadness, surprise
old	91	
iniquities	91	
darkness	91	anger, fear, negative, sadness
round	91	
souls	91	
eternal	90	
eyes	90	
delivered	90	
fallen	90	
number	90	
jared	89	
desire	89	
anger	89	anger, negative
wo	88	
look	88	
salvation	88	anticipation, joy, positive, trust
prepared	87	anticipation, positive, trust
lay	87	
space	87	
passed	87	
three	86	
return	86	
never	86	
multitude	86	
preach	86	
flesh	86	disgust
mighty	85	anger, fear, joy, positive, trust
hearken	85	
baptized	85	
nations	84	
mercy	84	positive
while	84	
yourselves	84	
coming	83	anticipation
kept	83	
secret	83	trust
enemies	83	
taught	81	trust
saved	81	
resurrection	81	
strong	80	
waters	79	
her	79	
fulfilled	79	
truth	79	positive, trust
priests	79	
whosoever	79	
afflictions	78	
records	78	
body	78	
glory	78	anticipation, joy, positive, trust
only	78	
filled	77	
driven	77	
state	77	
cities	77	
teach	77	joy, positive, surprise, trust
flocks	77	
book	76	
declare	76	
jews	76	
daughters	76	
abominations	76	
night	76	
verily	76	positive, trust
coriantumr	76	
borders	75	
moses	75	
servant	75	negative, trust
lest	75	
some	75	
whose	75	
lamb	75	joy, positive, trust
account	74	trust
found	74	joy, positive, trust
gone	74	
set	74	
pray	74	anticipation, fear, joy, positive, surprise, trust
little	74	
under	74	
servants	73	
prison	73	anger, fear, negative, sadness
very	73	
bondage	73	fear, negative, sadness
amulek	73	
rejoice	72	anticipation, joy, positive, surprise, trust
whole	72	
left	72	
cut	72	
whatsoever	72	
water	71	
fled	71	fear
high	70	
built	70	
justice	70	positive, trust
angry	69	anger, disgust, negative
hundred	69	
mouth	67	surprise
notwithstanding	67	
seek	66	anticipation
call	66	
above	66	
prisoners	66	
sought	65	
sin	65	anger, disgust, fear, negative, sadness
possession	65	anger, disgust, fear, negative
stood	64	
without	64	
suppose	64	
prophet	64	anticipation, positive, trust
hosts	64	
amalickiah	64	
nothing	63	
flee	63	fear, negative
why	63	
desirous	63	positive
wars	63	
lifted	63	
pride	63	joy, positive
long	63	anticipation
remnant	62	
bear	62	anger, fear
desired	62	
command	62	
expedient	62	joy, positive, trust
generation	62	
turn	62	
scattered	61	
gold	61	positive
captivity	61	negative, sadness
full	60	positive
gather	60	
judgment	60	surprise
deny	60	anger, negative
appointed	60	
get	59	
inheritance	59	anticipation, joy, positive, surprise, trust
wisdom	59	positive, trust
head	59	
enter	59	
everlasting	59	positive
hell	59	anger, disgust, fear, negative, sadness
few	59	
prosper	58	anticipation, joy, positive
obtain	58	
throughout	58	
march	58	positive
dwell	57	
beginning	57	
returned	57	
arms	57	
love	57	joy, positive
vain	57	
remainder	57	
just	57	
carried	56	
wilt	56	
she	56	
judged	56	
humble	56	disgust, negative, positive, sadness
limhi	56	
marvelous	55	joy, positive
angels	55	
preserve	55	positive
thousand	55	
weapons	55	
twenty	55	
ended	55	
robbers	55	
laman	54	
precious	54	anticipation, joy, positive, surprise
presence	54	positive
smite	54	anger, fear, negative, sadness
feet	54	
contentions	54	
disciples	54	
suffered	54	
second	54	
laid	53	
ways	53	
most	53	
wild	53	negative, surprise
branches	53	
labor	53	anticipation, joy, positive, surprise, trust
tell	53	
read	52	
silver	52	
back	52	
right	52	
sorrow	52	fear, negative, sadness
women	52	
redemption	51	positive
continually	51	
meet	51	
wives	51	
created	50	
fell	50	negative, sadness
unbelief	50	negative
small	50	negative
hope	50	anticipation, joy, positive, surprise, trust
aaron	50	
surely	49	
gain	49	anticipation, joy, positive
broken	49	anger, fear, negative, sadness
prepare	48	anticipation, positive
obtained	48	
lost	48	negative, sadness
manifest	48	
build	48	positive
east	48	
four	47	
merciful	47	positive
ground	47	trust
smitten	47	positive
authority	47	positive, trust
awful	47	anger, disgust, fear, negative, sadness
ask	47	
rest	47	positive
liberty	47	anticipation, joy, positive, surprise, trust
order	47	
whether	47	
lamoni	47	
joseph	46	
departed	46	negative, sadness
told	46	
riches	46	
fine	46	
need	46	
myself	46	
understand	46	
walk	46	
means	46	
died	46	
miracles	46	
stead	46	
noah	46	
prophesy	45	
testified	45	
tents	45	
believed	45	trust
laban	45	
needs	45	
still	45	
knoweth	45	
worship	45	anticipation, fear, joy, positive, trust
zion	45	
establish	45	trust
where	45	
numerous	45	
grant	45	anticipation, joy, positive, trust
northward	45	
near	44	
river	44	
cried	44	
raise	44	
soon	44	
well	44	
contend	44	
wrath	44	anger, fear, negative
parts	44	
established	44	joy, positive
numbered	44	
nay	44	negative
amen	43	joy, positive, trust
ishmael	43	
somewhat	43	
perhaps	43	
hold	43	
judgments	43	
food	43	joy, positive, trust
teancum	43	
commandment	42	
midst	42	
inhabitants	42	
stones	42	
thousands	42	
possess	42	anticipation, joy, positive, trust
sign	42	
exceeding	42	
bringeth	42	
wrought	42	negative
whoso	42	
die	42	fear, negative, sadness
morrow	42	anticipation
begat	42	
west	42	
swords	42	
plan	42	anticipation
send	42	
thine	41	
truly	41	
valley	41	
promise	41	joy, positive, trust
speaking	41	
lives	41	
redeemer	41	
gospel	41	positive, trust
harden	41	
always	41	
scriptures	41	
serve	41	negative, trust
epistle	41	
preserved	40	
kind	40	joy, positive, trust
forward	40	positive
wise	40	positive
restored	40	
language	39	
heavens	39	joy, positive, trust
witness	39	trust
desires	39	
natural	39	
trust	39	trust
garments	38	
depart	38	anticipation, sadness
chosen	38	positive
durst	38	
curse	38	anger, disgust, fear, negative, sadness
free	38	
foundation	38	positive
lead	38	positive
support	38	
country	38	
provisions	37	
brass	37	
wine	37	
prophecies	37	
its	37	
arm	37	
north	37	
heads	37	
thirty	37	
perfect	37	anticipation, joy, positive, trust
thereby	37	
abinadi	37	
sidon	37	
pahoran	37	
testimony	36	trust
bountiful	36	anticipation, joy, positive
thought	36	anticipation
others	36	
young	36	
spare	36	
ever	36	
dust	36	negative
enos	36	
gideon	36	
cease	35	
kings	35	
rise	35	
minister	35	
ought	35	
places	35	
repented	35	
lift	35	
forty	35	
murder	35	anger, disgust, fear, negative, sadness, surprise
commit	35	
eye	35	
south	35	
entered	35	
maintain	35	
prophecy	34	anticipation
large	34	
prayed	34	
rock	34	positive
stir	34	
loins	34	
beasts	34	
purpose	34	
child	34	anticipation, joy, positive
loss	34	anger, fear, negative, sadness
hardened	34	anger, disgust, fear, negative
redeemed	34	
contention	34	
benjamin	34	
gift	33	anticipation, joy, positive, surprise
grace	33	positive
dwelt	33	
visit	33	positive
live	33	
supposed	33	
carry	33	
times	33	
far	33	
fulness	33	
diligence	33	positive, trust
answered	33	
afflicted	33	negative
remain	33	
seeing	33	
zoramites	33	
between	33	
omni	33	
fought	33	
hid	32	
shown	32	
commencement	32	
open	32	
twelve	32	
captive	32	fear, negative, sadness
messiah	32	
mother	32	anticipation, joy, negative, positive, sadness, trust
follow	32	
knowing	32	positive
nation	32	trust
intent	32	
whither	32	
arose	32	
mountains	32	
churches	32	
mind	32	
bless	32	anticipation, joy, positive, trust
grow	32	anticipation, joy, positive, trust
greater	32	positive
poor	32	
rather	32	
leader	32	positive, trust
gadianton	32	
covenants	31	
faithful	31	positive, trust
names	31	
lemuel	31	
promised	31	
goodness	31	anticipation, joy, positive, surprise, trust
shake	31	
inasmuch	31	
engraven	31	
minds	31	
fulfilling	31	
find	31	
turned	31	
belong	31	
drink	31	
bodies	31	
granted	31	positive
sixty	31	
band	31	
shiz	31	
wife	30	
sore	30	anger, negative, sadness
hide	30	fear
search	30	
fight	30	anger, fear, negative
begin	30	
prayers	30	
cursed	30	anger, fear, negative, sadness
happiness	30	anticipation, joy, positive
transgression	30	negative
teachers	30	
eat	30	positive
murders	30	
preaching	30	
guards	30	
possible	29	
walls	29	
famine	29	negative, sadness
abraham	29	
bound	29	negative
looked	29	
depths	29	
ends	29	
greatness	29	joy, positive, surprise, trust
freedom	29	joy, positive, trust
prayer	29	
beat	29	
converted	29	
traditions	29	
shedding	29	
testify	28	
tremble	28	
remembrance	28	
oath	28	positive, trust
grain	28	
baptize	28	
abominable	28	disgust, fear, negative
saints	28	
atonement	28	positive
wax	28	
raised	28	
remission	28	positive
laws	28	
murdered	28	
zeezrom	28	
journey	27	anticipation, fear, joy, positive
prophesied	27	
since	27	
bands	27	
white	27	
partake	27	positive, trust
fair	27	positive
showed	27	
fourth	27	
sacred	27	
signs	27	
bringing	27	
whoredoms	27	
hill	27	
substance	27	positive
priest	27	positive, trust
charity	27	joy, positive
fifth	27	
amlicites	27	
captains	27	
defend	27	fear, positive
tower	26	positive
lie	26	anger, disgust, negative, sadness
course	26	
keeping	26	
hardness	26	negative
smote	26	
pure	26	
whereby	26	
adam	26	
satan	26	
within	26	
break	26	surprise
new	26	
seashore	26	
baptism	26	positive
observe	26	
sayings	26	
third	26	
slew	26	
governor	26	trust
ammonihah	26	
jershon	26	
shule	26	
declared	25	
born	25	
murmur	25	
better	25	
pursue	25	
descendant	25	
proceed	25	
mankind	25	
knowest	25	
terrible	25	anger, disgust, fear, negative, sadness
doctrine	25	trust
mourn	25	negative, sadness
hitherto	25	negative
mount	25	
inherit	25	
sheep	25	
misery	25	anger, disgust, fear, negative, sadness
redeem	25	
government	25	fear, negative
doeth	25	
retain	25	trust
astonished	25	
sixth	25	
morianton	25	
thanks	24	
rejected	24	negative
ourselves	24	
fifty	24	
wroth	24	
five	24	
sight	24	
bow	24	
isaiah	24	
possessed	24	anger, disgust, fear, negative
cunning	24	negative, positive
sing	24	anticipation, joy, positive, sadness, trust
tongue	24	
endless	24	anger, fear, joy, negative, positive, sadness, trust
camp	24	
nephihah	24	
ammoron	24	
akish	24	
family	23	
cross	23	anger, fear, negative, sadness
wrote	23	
diligently	23	
alone	23	
feared	23	
praise	23	joy, positive, trust
plain	23	
desiring	23	positive
heed	23	
arise	23	
stretched	23	
till	23	
opened	23	
sake	23	
nourished	23	
speedily	23	
awake	23	
deep	23	
herds	23	
hewn	23	
half	23	
witnesses	22	
kindreds	22	
tongues	22	
