Word	Count	Emotions
the	4866	
of	3888	
a	2745	
in	2689	
to	2244	
one	1930	
adj	1863	
lat	1350	
c	1149	
be	1033	
on	1008	
with	940	
and	937	
fr	873	
at	790	
up	776	
out	742	
as	679	
for	587	
take	575	
phr	539	
make	535	
adv	492	
by	475	
have	448	
not	442	
upon	416	
put	387	
go	381	
it	373	
into	368	
an	367	
time	361	anticipation
give	336	
all	332	
from	330	
off	325	
good	320	anticipation, joy, positive, surprise, trust
no	299	
come	294	
down	288	
set	284	
over	274	
hand	263	
oneself	262	
is	259	
turn	256	
keep	251	
mind	237	
under	228	
hold	221	
way	216	
do	203	
away	202	
run	202	
head	200	
heart	189	
get	189	
de	178	
point	177	
man	166	
fall	166	negative, sadness
like	164	
play	162	
light	161	
fire	161	fear
stand	160	
day	160	
against	154	
look	151	
lay	151	
or	147	
high	146	
that	144	
law	144	trust
about	143	
back	143	
render	142	positive
bring	140	
life	139	
cut	139	
open	136	
place	135	
work	134	
cast	133	
water	132	
break	130	surprise
pass	128	
right	127	
round	126	
throw	122	
bear	120	anger, fear
well	118	
face	118	
eyes	117	
bad	117	anger, disgust, fear, negative, sadness
let	114	
hard	111	
course	109	
part	107	
what	107	
see	107	
end	106	
full	105	positive
words	103	anger, negative
pay	103	anticipation, joy, positive, trust
after	102	
through	102	
money	102	anger, anticipation, joy, positive, surprise, trust
eye	102	
int	100	
without	99	
ground	99	trust
word	98	positive, trust
wind	98	
memory	97	
call	95	
old	94	
its	94	
est	94	
i	93	
nothing	93	
account	92	trust
house	92	
order	91	
you	91	
side	90	
blood	89	
draw	89	
long	89	anticipation
short	89	
sound	87	
lie	86	anger, disgust, negative, sadness
dead	86	
hands	86	
will	85	
show	85	trust
together	85	
thought	85	anticipation
free	85	
blow	85	
air	84	
own	84	
death	84	anger, anticipation, disgust, fear, negative, sadness, surprise
love	84	joy, positive
mark	82	
et	81	
matter	80	
non	80	
close	80	
med	80	
ear	80	
world	79	
attention	78	positive
state	78	
hope	78	anticipation, joy, positive, surprise, trust
motion	77	anticipation
are	76	
much	76	
leave	76	negative, sadness, surprise
beat	76	
court	76	anger, anticipation, fear
person	75	
horse	74	trust
before	74	
cause	74	
arms	74	
sight	73	
question	72	positive
strike	72	anger, negative
home	71	
la	71	
truth	70	positive, trust
line	70	
ill	70	anger, disgust, fear, negative, sadness
foot	69	
force	69	anger, fear, negative
store	69	anticipation, positive
so	68	
who	68	
change	68	fear
false	68	
note	67	
latin	67	
cross	67	anger, fear, negative, sadness
clear	67	
cry	67	negative, sadness
view	66	
carry	66	
raise	66	
post	66	
thing	65	
things	65	
list	65	
this	64	
live	64	
black	64	
color	64	
fair	64	positive
his	64	
lose	64	anger, disgust, fear, negative, sadness, surprise
first	63	
than	63	
low	63	
stick	63	
stone	63	anger, negative
ger	63	
pleasure	63	
evidence	63	
forth	62	
power	62	
want	62	
chance	62	surprise
cold	62	negative
drop	61	
great	61	
best	61	
say	61	
knowledge	61	positive
care	61	
but	60	
book	60	
more	60	
land	60	positive
double	60	
catch	60	surprise
lead	60	positive
le	60	
horace	60	
honor	60	positive, trust
oil	60	
lost	59	negative, sadness
soul	59	
know	59	
press	59	
dry	59	
pain	59	fear, negative, sadness
small	58	negative
true	58	joy, positive, trust
deep	58	
last	57	
form	57	
voice	57	
terms	57	
en	57	
white	57	
master	57	positive
too	57	
loose	57	
mouth	57	surprise
being	56	
absence	56	fear, negative, sadness
party	56	
god	56	anticipation, fear, joy, positive, trust
other	55	
die	55	fear, negative, sadness
never	55	
speak	55	
war	55	fear, negative
game	55	
beyond	55	
means	55	
gain	55	anticipation, joy, positive
hang	55	
coll	55	
fly	55	
breath	55	
evil	55	anger, disgust, fear, negative, sadness
french	55	
opinion	55	
within	54	
common	54	
case	54	fear, negative, sadness
reason	54	positive
between	53	
ad	53	
general	53	positive, trust
rest	53	positive
school	53	trust
age	53	
use	52	
present	52	anticipation, joy, positive, surprise, trust
new	52	
act	52	
measure	52	trust
dark	52	sadness
pull	52	positive
wrong	52	negative
sharp	52	
may	51	
send	51	
become	51	
touch	51	
fine	51	
vergil	51	
slip	51	negative, surprise
thoughts	51	
shot	51	anger, fear, negative, sadness, surprise
think	51	
faith	51	anticipation, joy, positive, trust
number	50	
section	50	
science	50	
find	50	
fast	50	
door	50	
fool	49	disgust, negative
labor	49	anticipation, joy, positive, surprise, trust
aside	49	
follow	49	
tide	49	
authority	49	positive, trust
blind	49	
belief	49	
duty	49	
spirit	48	positive
pope	48	positive
stock	48	
top	48	anticipation, positive, trust
ears	48	
name	48	
past	48	
forward	48	positive
wheel	48	
two	47	
can	47	
there	47	
rough	47	
action	47	positive
subject	47	negative
hamlet	46	
business	46	
every	46	
train	46	
stop	46	
bend	46	
bill	46	
hot	46	anger
peace	46	anticipation, joy, positive, trust
fancy	46	anticipation, joy, positive
which	45	
front	45	
times	45	
shade	45	
little	45	
waste	45	disgust, negative
dust	45	negative
move	45	
room	45	
drive	45	
green	45	joy, positive, trust
price	45	
flat	45	
if	44	
plain	44	
talk	44	positive
shadow	44	
my	44	
interest	44	positive
near	44	
strong	44	
burst	44	
blue	44	sadness
march	44	positive
tongue	44	
star	44	anticipation, joy, positive, trust
such	43	
very	43	
far	43	
night	43	
meet	43	
half	43	
dash	43	
better	43	
days	43	
sleep	43	
still	42	
second	42	
heat	42	
spring	42	
heavy	42	
worth	42	positive
roll	42	
charge	42	
heaven	42	
grace	42	positive
service	42	
due	42	
dog	42	
soft	42	
shake	42	
sense	41	positive
fish	41	
scale	41	
sea	41	positive
dance	41	joy, positive, trust
pour	41	
sp	41	
danger	41	fear, negative, sadness
credit	41	positive, trust
public	40	anticipation, positive
some	40	
just	40	
behind	40	
fit	40	
same	40	
favor	40	
stage	40	
enough	40	
grave	40	fear, negative, sadness
issue	40	
iron	40	positive, trust
start	40	anticipation
red	40	
feel	40	
physical	40	
spirits	40	anticipation, joy, positive, surprise
body	39	
fashion	39	
nature	39	
another	39	
step	39	
balance	39	positive
distance	39	
flow	39	positive
quick	39	
watch	39	anticipation, fear
straight	39	
board	39	anticipation
sweet	39	anticipation, joy, positive, surprise, trust
meaning	39	
cloud	38	
humor	38	
purpose	38	
smooth	38	
assent	38	positive
storm	38	anger, negative
rule	38	fear, trust
tell	38	
notice	38	
teeth	38	
temper	37	
strain	37	
piece	37	
return	37	
pick	37	positive
devil	37	anger, anticipation, disgust, fear, negative, sadness
guard	37	fear, positive, trust
wall	37	
poor	37	
escape	37	anticipation, fear, negative, positive
discharge	37	negative
command	37	
desire	37	
many	36	
file	36	
itself	36	
habit	36	
ease	36	positive
race	36	
wear	36	negative, trust
weak	36	
dull	36	negative, sadness
along	36	
support	36	
me	36	
fortune	36	anticipation, joy, positive, surprise, trust
necessity	36	sadness
easy	36	
error	36	negative, sadness
sign	35	
seal	35	positive, trust
strength	35	positive, trust
battle	35	anger, negative
stretch	35	
golden	35	
fill	35	trust
done	35	
ne	35	
hole	35	
qui	35	
ex	35	
aid	35	positive
expectation	35	anticipation, positive
hit	35	anger, negative
office	35	
square	34	
main	34	positive
bar	34	
gone	34	
flesh	34	disgust
degree	34	positive
natural	34	
taste	34	
study	34	positive
cap	34	anticipation, trust
ovid	34	
road	34	
judgment	34	surprise
field	34	
lord	34	disgust, negative, positive, trust
gun	34	anger, fear, negative
box	34	
justice	34	positive, trust
earth	33	
your	33	
dress	33	
feather	33	
deal	33	anticipation, joy, positive, surprise, trust
idea	33	
ahead	33	positive
crack	33	negative
stroke	33	fear, negative, sadness
jump	33	joy, positive
o	33	
heels	33	
paper	33	
fling	33	
wild	33	negative, surprise
warm	33	
market	33	
trade	33	trust
doubt	33	fear, negative, sadness, trust
value	33	
flame	32	
exchange	32	positive, trust
level	32	positive, trust
pitch	32	
again	32	
thick	32	
enter	32	
stream	32	
receive	32	
prime	32	positive
alarm	32	fear, negative, surprise
corner	32	
cat	32	
silence	32	
government	32	fear, negative
bow	32	
direct	32	
colors	32	
any	31	
worse	31	fear, negative, sadness
even	31	
would	31	
quantity	31	
effect	31	
wise	31	positive
pro	31	
bit	31	
slow	31	
join	31	positive
stir	31	
tear	31	
length	31	
arm	31	
shut	31	
fight	31	anger, fear, negative
shop	31	
card	31	
men	31	
animal	31	
figure	31	
people	31	
hour	31	
sail	31	
king	31	positive
art	31	anticipation, joy, positive, sadness, surprise
secret	31	trust
possession	31	anger, disgust, fear, negative
ready	31	anticipation
most	30	
dream	30	
sun	30	anticipation, joy, positive, surprise, trust
occasion	30	
how	30	
drag	30	
record	30	
once	30	
letter	30	anticipation
fix	30	
consideration	30	
broken	30	anger, fear, negative, sadness
going	30	
music	30	joy, positive, sadness
table	30	
gray	30	disgust, sadness
spare	30	
gas	30	
lift	30	
reasoning	30	
inquiry	30	anticipation, positive
promise	30	joy, positive, trust
judge	30	
has	29	
here	29	
complete	29	
joke	29	negative
flash	29	
tale	29	positive
milton	29	
copy	29	negative
tread	29	
rank	29	
pace	29	
kick	29	anger, negative
mean	29	
pot	29	
whole	29	
rise	29	
above	29	
henry	29	
tender	29	joy, positive, trust
nose	29	disgust
spread	29	
tail	29	
les	29	
neglect	29	negative
speech	29	positive
edge	29	
coup	29	anger, surprise
years	29	
practice	29	positive
check	29	
story	29	
ring	29	
macbeth	29	
glass	29	
tennyson	29	
sword	29	
rage	29	anger, negative
feet	29	
debt	29	negative, sadness
news	29	
try	29	
fear	29	anger, fear, negative
information	29	positive
obligation	29	
now	28	
their	28	
current	28	
class	28	
sum	28	
object	28	
grain	28	
au	28	
circumstances	28	
vice	28	negative
counter	28	
sans	28	
alone	28	
clean	28	joy, positive, trust
root	28	
settle	28	
pas	28	
lips	28	
wonder	28	
holy	28	positive
legs	28	
opportunity	28	anticipation, positive
pocket	28	
assume	28	
sink	28	
pen	28	
bold	28	positive
car	28	
church	28	anticipation, joy, positive, trust
bottom	27	negative, sadness
existence	27	positive
fact	27	trust
paradise	27	
answer	27	
suit	27	
joint	27	
weight	27	anticipation, disgust, fear, joy, negative, positive, sadness, surprise, trust
advance	27	anticipation, fear, joy, positive, surprise
crown	27	
ends	27	
disorder	27	fear, negative
lock	27	
skin	27	
passage	27	
garden	27	joy, positive
grk	27	
express	27	
wit	27	positive
countenance	27	
pale	27	
boat	27	
cool	27	positive
weather	27	
finger	27	
shoulder	27	positive, trust
worship	27	anticipation, fear, joy, positive, trust
cheer	27	anticipation, joy, positive, surprise, trust
smell	27	anger, disgust, negative
cunning	27	negative, positive
tears	27	
shame	27	disgust, fear, negative, sadness
less	26	
abstract	26	
sober	26	
vain	26	
imagination	26	
cicero	26	
happy	26	anticipation, joy, positive, trust
pin	26	
reduce	26	
bargain	26	positive, trust
moral	26	anger, positive, trust
plan	26	anticipation
ball	26	
fresh	26	
glance	26	
ice	26	
custom	26	
four	26	
quarter	26	
moment	26	
haste	26	anticipation
speed	26	
coat	26	
bell	26	
foul	26	anger, disgust, fear, negative
food	26	joy, positive, trust
health	26	
language	26	
bright	26	
estate	25	
push	25	
respect	25	anticipation, joy, positive, trust
german	25	
self	25	
par	25	
walk	25	
inch	25	
conscience	25	positive, trust
wide	25	
ever	25	
affections	25	
legal	25	positive, trust
preparation	25	anticipation
rear	25	negative
morning	25	
council	25	anticipation, positive, trust
rush	25	
path	25	
believe	25	
flight	25	
woman	25	
shift	25	
luck	25	anticipation, joy, positive, surprise
ride	25	
sure	25	
virtue	25	positive, trust
he	25	
passion	25	anticipation, joy, positive, trust
bound	25	negative
scent	25	
warrant	25	
