Word	Count	Emotions
and	51696	
of	34670	
to	13580	
that	12912	
in	12667	
he	6659	
shall	9838	
unto	8997	
for	8971	
I	4096	
his	8473	
a	8177	
lord	42	disgust, negative, positive, trust
they	6430	
be	291	
not	6780	
it	6129	
with	3	
all	5620	
thou	5474	
thy	4600	
god	244	anticipation, fear, joy, positive, trust
which	4413	
my	4368	
say	1056	
but	3992	
ye	3983	
their	3942	
have	1	
will	9	
thee	3826	
from	3642	
as	3520	
when	2834	
this	2785	
out	2775	
upon	2748	
man	1673	
by	2625	
you	2614	
israel	2571	
king	340	positive
son	1090	
up	2380	
there	2299	
hath	2264	
then	2169	
people	2	
come	100	
house	136	
into	2015	
on	2011	
she	982	
one	77	
we	1448	
child	205	anticipation, joy, positive
before	1796	
your	1785	
also	1769	
day	865	
land	1	positive
an	1699	
so	1689	
against	1667	
shalt	1616	
if	1595	
at	1570	
let	1	
go	92	
hand	1	
make	30	
no	1394	
even	1393	
do	39	
now	1356	
behold	15	
saith	1262	
therefore	1237	
every	1236	
these	1225	
because	1209	
after	1179	
our	6	
thing	542	
down	1125	
or	1122	
father	548	trust
hast	1070	
o	1065	
david	1058	
may	1027	
over	1008	
earth	987	
what	985	
jesus	983	
who	968	
great	21	
name	57	
thine	938	
among	916	
away	915	
any	912	
put	17	
thereof	906	
forth	888	
give	29	
neither	879	
take	20	
city	448	
bring	24	
moses	851	
two	835	
heart	113	
pass	13	
judah	816	
jerusalem	813	
accord	16	positive, trust
should	783	
whom	763	
know	51	
nor	755	
thus	737	
offer	143	positive
good	25	anticipation, joy, positive, surprise, trust
place	14	
word	546	positive, trust
set	3	
more	686	
send	14	
yet	683	
again	672	
like	1	
way	205	
eat	3	positive
mine	649	
hear	39	
call	24	
about	632	
time	145	anticipation
evil	9	anger, disgust, fear, negative, sadness
egypt	611	
holy	1	positive
see	116	
own	596	
hundred	28	
spake	587	
heaven	133	
christ	570	
brother	1	positive, trust
many	556	
fire	1	fear
how	543	
year	369	
priest	399	positive, trust
